name-of-station	name-of-line			year
LexingtonAvenue_59thStreet	Line 6	40.762471	-73.9679	1918
LexingtonAvenue_59thStreet	Line N	40.762471	-73.9679	1919
LexingtonAvenue_59thStreet	Line R	40.762471	-73.9679	1919
LexingtonAvenue_59thStreet	Line W	40.762471	-73.9679	1919
MyrtleWyckoffAvenues	Line L	40.699511	-73.911166	1928
MyrtleWyckoffAvenues	Line M	40.699511	-73.911166	1889
NewUtrechtAvenue_62ndStreet	Line D	40.626086	-73.997887	1916
NewUtrechtAvenue_62ndStreet	Line M	40.626086	-73.997887	1916
NewUtrechtAvenue_62ndStreet	Line N	40.626086	-73.997887	1915
RooseveltAvenue_74thStreet	Line 7	40.746764	-73.891519	1917
RooseveltAvenue_74thStreet	Line E	40.746764	-73.891519	1933
RooseveltAvenue_74thStreet	Line F	40.746764	-73.891519	1933
RooseveltAvenue_74thStreet	Line G	40.746764	-73.891519	1933
RooseveltAvenue_74thStreet	Line R	40.746764	-73.891519	1933
RooseveltAvenue_74thStreet	Line V	40.746764	-73.891519	1933
SouthFerry_WhitehallStreet	Line 1	40.702472	-74.012833	2009
SouthFerry_WhitehallStreet	Line N	40.702472	-74.012833	1918
SouthFerry_WhitehallStreet	Line R	40.702472	-74.012833	1918
SouthFerry_WhitehallStreet	Line W	40.702472	-74.012833	1918
TimesSquare_42ndStreet	Line 1	40.756	-73.987	1918
TimesSquare_42ndStreet	Line 2	40.756	-73.987	1918
TimesSquare_42ndStreet	Line 3	40.756	-73.987	1918
TimesSquare_42ndStreet	Line 7	40.756	-73.987	1917
TimesSquare_42ndStreet	Line S	40.756	-73.987	1904
TimesSquare_42ndStreet	Line N	40.756	-73.987	1918
TimesSquare_42ndStreet	Line Q	40.756	-73.987	1918
TimesSquare_42ndStreet	Line R	40.756	-73.987	1918
TimesSquare_42ndStreet	Line W	40.756	-73.987	1918
WestFourthStreetWashingtonSquare	Line A	40.731682	-74.000945	1932
WestFourthStreetWashingtonSquare	Line B	40.731682	-74.000945	1940
WestFourthStreetWashingtonSquare	Line C	40.731682	-74.000945	1932
WestFourthStreetWashingtonSquare	Line D	40.731682	-74.000945	1940
WestFourthStreetWashingtonSquare	Line E	40.731682	-74.000945	1932
WestFourthStreetWashingtonSquare	Line F	40.731682	-74.000945	1940
WestFourthStreetWashingtonSquare	Line V	40.731682	-74.000945	1940
