288	326
288	330
17	15
17	23
347	68
347	419
285	213
285	274
387	381
387	406
219	228
219	420
119	110
119	127
29	72
29	234
29	395
29	424
97	91
97	104
225	180
225	353
370	306
370	415
100	110
100	410
140	189
140	417
425	334
425	434
270	45
270	394
376	89
376	319
376	320
376	324
103	278
103	319
188	228
188	273
33	71
33	75
33	144
33	247
33	395
33	407
86	72
86	93
230	196
230	313
230	406
334	197
334	425
267	245
267	358
267	363
267	371
267	375
204	239
115	122
115	319
419	347
109	105
109	163
109	246
350	239
350	323
58	49
58	237
40	38
40	43
40	44
240	231
240	241
4	9
4	305
12	18
12	209
14	8
14	20
159	76
159	224
89	303
89	376
89	401
427	200
427	286
47	41
47	50
260	51
260	312
390	37
390	266
255	174
255	407
110	100
110	101
110	113
110	119
110	391
201	269
201	290
280	275
280	335
286	343
286	427
405	147
405	323
338	248
338	400
367	197
394	270
394	296
420	219
420	273
68	66
68	347
296	373
296	394
91	83
91	97
261	271
261	388
304	233
304	336
198	141
198	283
360	186
360	422
116	385
116	432
180	216
180	225
365	216
365	375
289	273
289	303
61	55
61	162
71	33
71	79
124	118
124	130
164	134
292	228
292	348
21	18
21	26
21	28
113	110
113	118
392	186
392	345
182	144
182	398
41	36
41	39
41	47
41	49
31	56
31	214
217	236
217	264
388	261
388	343
311	176
311	259
136	128
136	305
242	193
242	423
374	77
374	266
75	33
75	80
57	50
57	238
55	61
55	351
72	29
72	86
408	19
408	194
54	150
54	236
203	210
203	399
239	204
239	350
146	145
25	23
25	36
206	364
206	434
208	315
208	341
106	102
106	351
28	21
28	24
28	38
28	409
351	55
351	106
351	117
351	265
94	294
94	377
308	152
308	157
83	91
83	377
246	109
246	265
295	325
295	426
148	178
148	234
148	348
148	389
148	412
276	178
276	245
130	124
130	137
397	228
397	380
216	180
216	365
216	375
212	202
212	273
320	252
320	376
96	355
96	401
151	149
151	152
152	151
152	308
153	154
153	161
263	102
263	354
158	155
158	346
235	183
235	330
189	140
189	147
189	200
189	213
154	153
154	309
34	27
34	39
432	104
432	116
259	52
259	311
205	179
205	396
69	67
69	414
141	198
141	368
16	11
298	373
298	409
145	81
145	146
329	62
329	67
7	2
7	13
253	108
253	319
128	136
128	385
102	106
102	263
46	44
46	411
70	56
70	78
379	226
325	241
325	295
354	88
354	263
104	97
104	432
362	211
362	273
407	33
407	255
214	31
214	290
377	83
377	90
377	94
377	319
76	159
76	160
88	77
88	95
88	354
175	312
175	357
13	7
13	19
59	62
59	237
401	89
401	96
232	121
232	229
15	17
15	207
178	148
178	276
183	202
183	235
3	8
3	139
271	261
271	333
344	179
344	282
228	184
228	188
228	219
228	292
228	318
228	348
228	397
108	99
108	253
129	121
129	430
184	228
184	421
258	332
363	267
363	268
345	157
345	392
20	14
20	22
20	27
411	46
411	51
6	11
6	430
358	267
358	313
39	34
39	41
372	202
372	247
323	350
323	405
254	278
254	410
196	230
196	352
9	4
9	332
8	3
8	14
144	33
144	182
352	181
352	196
10	5
10	361
357	175
126	135
126	303
231	194
231	240
297	238
319	103
319	115
319	253
319	376
319	377
305	4
305	136
35	27
35	38
87	90
87	192
391	101
391	110
391	234
391	252
423	45
423	242
424	29
424	399
229	232
229	356
211	226
211	269
211	362
192	81
192	87
213	189
213	285
64	282
64	324
101	93
101	110
101	391
11	6
11	16
150	54
150	161
181	215
181	352
238	57
238	297
157	308
157	345
179	205
179	303
179	344
417	140
417	221
44	40
44	46
156	133
156	310
149	151
149	353
160	60
160	76
349	415
155	158
155	309
412	148
412	266
418	278
418	294
368	141
368	193
45	270
45	423
236	54
236	217
195	202
195	273
406	230
406	387
430	6
430	129
434	206
434	425
43	40
43	340
48	199
48	340
364	206
364	400
371	267
371	402
82	79
82	278
60	53
60	160
163	109
163	123
237	58
237	59
90	87
90	377
56	31
56	70
118	113
118	124
409	28
409	298
318	228
318	234
233	304
233	343
402	371
402	428
132	127
132	139
26	21
234	29
234	148
234	318
234	391
346	158
346	422
395	29
395	33
24	19
24	28
273	188
273	195
273	210
273	212
273	289
273	362
273	420
273	421
315	208
315	343
428	215
428	402
53	60
53	125
137	1
137	130
137	209
326	257
326	288
200	189
200	427
383	5
383	135
19	13
19	24
19	408
396	205
396	266
134	123
134	164
133	156
133	224
343	233
343	286
343	315
343	388
269	201
269	211
380	227
380	397
194	231
194	408
81	145
81	192
266	374
266	390
266	396
266	412
1	137
1	207
85	78
85	410
139	3
139	132
414	69
2	7
2	138
186	360
186	392
93	86
93	101
398	182
398	202
341	208
341	257
341	316
197	334
197	367
37	264
37	390
333	271
373	296
373	298
215	181
215	428
245	267
245	276
138	2
138	131
335	280
335	336
18	12
18	21
339	176
339	431
95	88
95	105
283	63
283	198
176	311
176	339
49	41
49	58
385	116
385	128
385	355
306	370
306	381
135	126
135	383
50	47
50	57
27	20
27	22
27	34
27	35
278	82
278	103
278	254
278	410
278	418
290	201
290	214
399	203
399	424
257	326
257	341
80	75
80	84
332	9
332	258
78	70
78	85
336	304
336	335
422	224
422	346
422	360
431	339
147	189
147	405
127	119
127	132
330	235
330	288
303	89
303	126
303	179
303	289
193	242
193	368
248	338
248	426
79	71
79	82
268	363
202	183
202	195
202	212
202	218
202	372
202	398
361	10
221	356
221	417
415	349
415	370
265	246
265	351
421	184
421	273
174	255
174	327
389	148
389	375
224	133
224	159
224	422
77	88
77	374
375	216
375	267
375	365
375	389
22	20
22	27
123	134
123	163
52	199
52	259
327	174
327	275
241	240
241	325
355	96
355	385
400	338
400	364
84	80
84	410
51	260
51	411
209	12
209	137
264	37
264	217
117	125
117	351
36	25
36	41
131	122
131	138
67	69
67	329
199	48
199	52
207	1
207	15
274	285
274	316
340	43
340	48
247	33
247	372
348	148
348	228
348	292
105	95
105	109
316	274
316	341
226	211
226	379
66	63
66	68
121	129
121	232
312	175
312	260
122	115
122	131
5	10
5	383
99	108
99	410
313	230
313	358
310	156
310	162
63	66
63	283
23	17
23	25
309	154
309	155
218	202
218	227
161	150
161	153
252	320
252	391
162	61
162	310
282	64
282	344
275	280
275	327
38	28
38	35
38	40
294	94
294	418
381	306
381	387
410	84
410	85
410	99
410	100
410	254
410	278
62	59
62	329
426	248
426	295
353	149
353	225
324	64
324	376
210	203
210	273
356	221
356	229
227	218
227	380
125	53
125	117
