246	396
391	78
391	117
391	177
391	293
391	468
369	363
369	448
312	48
312	448
207	57
207	199
177	133
177	149
177	391
228	335
228	337
114	188
114	292
466	36
466	325
218	101
218	201
140	181
140	371
155	24
155	174
155	298
155	345
209	297
209	379
444	204
444	353
456	117
448	312
448	369
409	40
409	261
243	109
243	258
365	152
365	183
152	149
152	365
376	131
376	144
376	303
376	358
230	71
230	426
424	80
424	345
6	188
6	254
83	205
83	469
357	200
363	369
363	398
80	23
80	424
382	31
382	386
472	38
472	175
205	83
205	211
123	65
123	122
123	125
123	254
231	110
231	337
349	82
349	316
345	155
345	424
297	65
297	209
316	48
316	349
254	6
254	123
254	253
254	257
198	71
198	72
476	372
476	390
457	276
457	303
225	109
24	155
24	335
298	8
298	155
212	292
212	311
398	199
398	363
63	3
63	67
407	220
407	341
403	112
403	242
403	390
7	164
7	396
388	103
388	353
276	93
276	457
93	72
93	276
70	315
70	468
372	269
372	435
372	476
257	101
257	254
335	24
335	228
375	31
375	302
31	375
31	382
325	329
325	466
426	230
18	337
18	358
292	114
292	212
353	388
353	444
130	3
130	385
188	6
188	114
386	178
386	382
321	9
321	154
321	200
57	207
57	242
286	160
286	285
366	343
366	467
164	7
164	162
38	311
38	472
468	70
468	391
429	285
429	417
220	110
220	407
384	235
384	416
144	376
144	467
421	217
421	439
108	65
108	454
201	218
201	422
36	261
36	466
379	67
379	209
379	308
379	412
467	144
467	366
237	131
237	402
258	99
258	243
422	160
422	201
160	286
160	422
203	260
203	351
65	103
65	108
65	123
65	297
311	38
311	212
293	391
293	469
402	9
402	237
469	83
469	293
117	391
117	456
437	210
280	91
280	210
302	337
302	375
122	67
122	123
303	376
303	457
439	174
439	421
181	140
181	269
110	220
110	231
454	108
454	154
329	133
329	325
417	48
417	429
9	321
9	402
480	308
480	315
40	13
40	409
175	248
175	472
308	379
308	480
204	435
204	444
412	341
412	379
82	349
103	65
103	101
103	125
103	388
162	164
162	260
90	19
90	91
199	207
199	398
71	198
71	230
315	70
315	480
248	175
253	67
253	254
91	90
91	280
396	7
396	246
428	217
285	286
285	429
211	205
211	385
99	13
99	258
19	48
19	90
351	23
351	203
385	130
385	211
183	8
183	365
341	407
341	412
3	63
3	130
174	155
174	439
125	103
125	123
242	57
242	403
131	237
131	376
200	321
200	357
358	18
358	376
67	63
67	122
67	253
67	379
133	177
133	329
13	40
13	99
261	36
261	409
48	19
48	312
48	316
48	417
235	371
235	384
210	280
210	437
371	140
371	235
435	204
435	372
178	78
178	386
78	178
78	391
416	343
416	384
72	93
72	198
109	225
109	243
8	183
8	298
343	366
343	416
337	18
337	228
337	231
337	302
154	321
154	454
390	403
390	476
269	181
269	372
112	101
112	403
149	152
149	177
101	103
101	112
101	218
101	257
217	421
217	428
260	162
260	203
23	80
23	351
