Abbesses	2.338687778	48.88484852	1912
Alesia	2.326802909	48.82821768	1909
AlexandreDumas	2.39479	48.855907	1903
AlmaMarceau	2.300234	48.864904	1923
AnatoleFrance	2.285536	48.892022	1937
Anvers	2.344848812	48.88300713	1902
Argentine	2.290113	48.875339	1900
Arsenal	2.366746366	48.84916567	1904
ArtsetMetiers	2.356794	48.865285	1935
AsnieresGennevilliersLesCourtilles	2.283788323	48.93060576	1980
AssembleeNationale	2.321130037	48.86065457	1910
AubervilliersPantinQuatreChemins	2.392495573	48.90389694	1979
AvenueEmileZola	2.294511795	48.84697701	1913
Avron	2.397862673	48.85194019	1903
Balard	2.278212011	48.83597048	1937
BarbesRochechouart	2.350516	48.88364	1903
BasiliquedeSaintDenis	2.360845506	48.93809957	1976
Bastille	2.369077	48.853082	1900
BelAir	2.400912344	48.8413443	1909
Belleville	2.376946807	48.87208261	1903
Berault	2.428264	48.845371	1934
Bercy	2.380417585	48.83993028	1909
BibliothequeFrancoisMitterrand	2.376781	48.829823	1998
Billancourt	2.238177359	48.83208981	1934
BirHakeim	2.289332	48.853917	1906
Blanche	2.333703	48.883459	1902
BobignyPabloPicasso	2.449994	48.906538	1985
BobignyPantinRaymondQueneau	2.424928844	48.89540875	1985
Boissiere	2.290391922	48.86738609	1900
Bolivar	2.374921739	48.88050244	1911
BonneNouvelle	2.348874807	48.87063948	1931
Botzaris	2.388040423	48.87955169	1911
Boucicaut	2.286620736	48.84057816	1937
BoulogneJeanJaures	2.238877416	48.84227813	1980
BoulognePontdeSaintCloud	2.228331	48.840684	1981
Bourse	2.341369987	48.86873757	1904
BreguetSabin	2.370093763	48.85613345	1906
Brochant	2.31970042	48.8908555	1912
ButtesChaumont	2.381772101	48.87850037	1911
Buzenval	2.402045	48.851976	1933
Cadet	2.344875634	48.87613482	1910
Cambronne	2.302936614	48.84753654	1906
CampoFormio	2.358128428	48.83502241	1906
CardinalLemoine	2.351203	48.847139	1931
CarrefourPleyel	2.343926132	48.91994192	1952
CensierDaubenton	2.351774	48.840597	1930
ChampsElyseesClemenceau	2.313542	48.867531	1900
ChardonLagache	2.26621449	48.84513775	1913
CharentonEcoles	2.41386205	48.82148972	1942
CharlesdeGaulleEtoile	2.294981	48.873773	1900
CharlesMichels	2.286942	48.846591	1913
Charonne	2.384639382	48.85510281	1933
Chateaud'Eau	2.356148958	48.8729012	1908
ChateaudeVincennes	2.440136	48.844382	1934
ChateauLandon	2.362071276	48.87845627	1910
ChateauRouge	2.349552	48.88673	1908
Chatelet	2.347324	48.858352	1900
ChatillonMontrouge	2.301826179	48.81053942	1976
Chausseed'AntinLaFayette	2.333932221	48.87307232	1910
CheminVert	2.368348	48.856778	1931
Chevaleret	2.368082106	48.83493767	1909
Cite	2.346418	48.855637	1910
ClunyLaSorbonne	2.344583273	48.8510189	1930
ColonelFabien	2.37116	48.877136	1903
Commerce	2.294215	48.845093	1937
Concorde	2.322397	48.866176	1900
Convention	2.296795	48.837419	1910
CorentinCariou	2.381745279	48.89434013	1910
CorentinCelton	2.278985	48.826833	1934
Corvisart	2.350508273	48.82980683	1906
Courcelles	2.304339	48.879401	1902
Couronnes	2.379861	48.869521	1903
CourSaintEmilion	2.385935	48.833501	1998
CreteilL'Echat	2.449355721	48.79596297	1973
CreteilPrefecture	2.459317446	48.77977215	1974
CreteilUniversite	2.450785339	48.78975375	1974
Crimee	2.377070189	48.89158031	1910
CroixdeChavaux	2.435764	48.858055	1937
Danube	2.394201458	48.88180772	1911
Daumesnil	2.395792007	48.8396443	1909
