Name	Latitude	 Longitude	Date	Line
Dowon	37.468675	126.642314	1994	Line 1
Dongincheon	37.475153	126.632864	1974	Line 1
Incheon	37.475883	126.616708	1975	Line 1
GasanDigitalComplex	37.480465	126.88304	1979	Line 1
Doksan	37.465556	126.889722	1998	Line 1
Geumcheon-guOffice	37.455556	126.894167	1979	Line 1
Seoksu	37.434444	126.9025	1979	Line 1
Gwanak	37.418889	126.909167	1979	Line 1
Anyang	37.402222	126.9225	1979	Line 1
Myeonghak	37.385	126.935556	1979	Line 1
Geumjeong	37.3725	126.943333	1988	Line 1
Gunpo	37.353611	126.948611	1979	Line 1
Uiwang	37.321111	126.948333	1979	Line 1
SungkyunkwanUniversity	37.300278	126.972222	1979	Line 1
Hwaseo	37.285	126.988889	1979	Line 1
Suwon	37.266111	126.999722	1979	Line 1
Seryu	37.244167	127.014167	2003	Line 1
Byeongjeom	37.206667	127.033056	2003	Line 1
Sema	37.1875	127.043333	2005	Line 1
OsanCollege	37.169444	127.063056	2005	Line 1
Osan	37.145556	127.067222	2005	Line 1
Jinwi	37.110278	127.070278	2006	Line 1
Songtan	37.075278	127.054167	2005	Line 1
Seojeong-ri	37.056389	127.053889	2005	Line 1
Jije	37.018889	127.070278	2006	Line 1
Pyeongtaek	37.99	127.086944	2005	Line 1
Seonghwan	36.915556	127.127778	2005	Line 1
Jiksan	36.870833	127.143889	2005	Line 1
Dujeong	36.833889	127.149167	2005	Line 1
Cheonan	36.80956	127.146621	2005	Line 1
Bongmyeong	36.801141	127.135527	2008	Line 1
Ssangyong	36.793792	127.121197	2008	Line 1
Cheonan-Asan	36.794383	127.104522	2008	Line 1
Baebang	36.778441	127.054782	2008	Line 1
Onyangoncheon	36.780556	127.003333	2008	Line 1
Sinchang	36.769628	126.950811	2008	Line 1
CityHall	37.564722	126.976944	1984	Line 2
Euljiro1-ga	37.566111	126.9825	1983	Line 2
Euljiro3-ga	37.566294	126.992781	1983	Line 2
Euljiro4-ga	37.566667	126.998056	1983	Line 2
DongdaemunStadium	37.565	127.007778	1983	Line 2
Sindang	37.565331	127.016217	1983	Line 2
Sangwangsimni	37.564167	127.029444	1983	Line 2
Wangsimni	37.561667	127.037778	1983	Line 2
HanyangUniversity	37.555278	127.043611	1983	Line 2
Ttukseom	37.547222	127.0475	1983	Line 2
Seongsu	37.544444	127.056111	1980	Line 2
KonkukUniversity	37.539933	127.070607	1980	Line 2
Guui	37.538056	127.085833	1980	Line 2
