81	28
81	198
103	150
103	193
233	92
233	142
95	137
95	138
95	150
95	183
86	99
86	157
214	133
214	152
63	13
63	208
204	72
204	127
203	41
203	237
152	192
152	214
166	7
166	170
176	171
176	198
123	10
123	224
14	106
14	220
236	132
236	144
5	52
5	199
164	127
174	173
197	69
197	234
33	84
33	113
193	42
193	103
145	65
145	169
215	31
215	139
183	95
183	125
179	21
179	177
134	99
134	212
15	90
15	231
165	106
165	157
94	41
94	201
178	162
42	51
42	193
228	170
228	171
153	12
153	158
153	213
153	220
171	176
171	228
58	6
58	102
132	65
132	236
173	40
173	174
10	35
10	123
49	199
38	16
38	114
234	79
234	90
234	110
234	197
69	197
69	220
190	9
190	110
9	190
131	50
131	60
64	21
64	213
97	34
97	113
13	56
13	63
180	60
180	237
73	78
73	121
127	164
127	204
142	208
142	233
212	27
212	134
52	5
52	75
109	17
109	229
21	64
21	179
211	62
211	136
78	2
78	73
168	92
168	163
237	180
237	203
198	81
198	176
162	51
162	178
112	217
88	39
88	74
8	39
8	238
90	15
90	234
60	131
60	180
24	28
24	65
62	155
62	211
208	63
208	142
135	53
135	192
229	109
191	74
191	122
235	155
235	231
12	153
12	157
187	129
187	222
35	10
35	89
136	34
136	44
136	144
136	177
136	196
136	211
144	136
144	236
201	11
201	94
72	121
72	204
44	114
44	136
114	38
114	44
192	135
192	152
102	31
102	58
65	24
65	37
65	132
65	145
106	14
106	165
74	88
74	191
6	37
6	58
6	155
89	11
89	35
39	8
39	88
28	24
28	81
7	166
7	222
122	191
213	64
213	84
213	153
213	220
121	72
121	73
150	95
150	103
139	16
139	215
137	16
137	95
85	79
85	196
133	155
133	214
37	6
37	65
27	212
27	219
92	168
92	233
220	14
220	56
220	69
220	153
220	213
99	86
99	134
111	32
111	181
110	190
110	234
56	13
56	220
217	112
217	181
2	78
2	169
188	53
188	75
40	163
40	173
205	16
205	113
50	131
224	16
224	123
17	109
17	156
79	85
79	234
16	38
16	137
16	138
16	139
16	156
16	205
16	224
163	40
163	168
196	85
196	136
125	181
125	183
51	42
51	162
231	15
231	235
32	36
32	111
169	2
169	145
199	5
199	49
181	111
181	113
181	125
181	217
219	27
219	238
113	33
113	97
113	181
113	205
222	7
222	187
238	8
238	219
170	166
170	228
155	6
155	62
155	133
155	235
129	187
158	36
158	153
34	97
34	136
31	102
31	215
84	33
84	213
138	16
138	95
157	12
157	86
157	165
36	32
36	158
75	52
75	188
177	136
177	179
156	16
156	17
53	135
53	188
41	94
41	203
11	89
11	201
