Esaka				Higashi-Mikuni
Higashi-Mikuni			Shin-Osaka
Shin-Osaka			Nishinakajima-Minamigata
Nishinakajima-Minamigata	Nakatsu
Nakatsu				Umeda
Umeda				Yodoyabashi
Yodoyabashi			Hommachi
Hommachi			Shinsaibashi
Shinsaibashi			Namba
Namba				Daikokucho
Daikokucho			Dobutsuen-mae
Dobutsuen-mae			Tennoji
Tennoji				Showacho
Showacho			Nishitanabe
Nishitanabe			Nagai
Nagai				Abiko
Abiko				Kitahanada
Kitahanada			Shinkanaoka
Shinkanaoka			Nakamozu
