Republique			FillesduCalvaire
FillesduCalvaire		SaintSebastienFroissart	
SaintSebastienFroissart		CheminVert
CheminVert			Bastille	
Bastille			LedruRollin
LedruRollin			FaidherbeChaligny
FaidherbeChaligny		ReuillyDiderot		
ReuillyDiderot			Montgallet
Montgallet			Daumesnil		
Daumesnil			MichelBizot
MichelBizot			PorteDoree
PorteDoree			PortedeCharenton
PortedeCharenton		Liberte		
Liberte				CharentonEcoles
CharentonEcoles			EcoleVeterinairedeMaisonsAlfort		
EcoleVeterinairedeMaisonsAlfort	MaisonsAlfortStade		
MaisonsAlfortStade		MaisonsAlfortLesJuilliottes
MaisonsAlfortLesJuilliottes	CreteilL'Echat		
CreteilL'Echat			CreteilUniversite
CreteilUniversite		CreteilPrefecture

PontdeSevres			Billancourt
Billancourt			MarcelSembat
MarcelSembat			PortedeSaintCloud
PortedeSaintCloud		Exelmans
Exelmans			MichelAngeMolitor	
MichelAngeMolitor		MichelAngeAuteuil
MichelAngeAuteuil		Jasmin	
Jasmin				Ranelagh
Ranelagh			LaMuette	
LaMuette			RuedelaPompe
RuedelaPompe			Trocadero
Trocadero			Iena	
Iena				AlmaMarceau
AlmaMarceau			FranklinD.Roosevelt
FranklinD.Roosevelt		SaintPhilippeduRoule
SaintPhilippeduRoule		Miromesnil		
Miromesnil			SaintAugustin
SaintAugustin			HavreCaumartin
HavreCaumartin			Chausseed'AntinLaFayette
Chausseed'AntinLaFayette	RichelieuDrouot
RichelieuDrouot			GrandsBoulevards
GrandsBoulevards		BonneNouvelle
BonneNouvelle			StrasbourgSaintDenis
StrasbourgSaintDenis		Republique
Republique			Oberkampf
Oberkampf			SaintAmbroise
SaintAmbroise			Voltaire	
Voltaire			Charonne
Charonne			RuedesBoulets
RuedesBoulets			Nation		
Nation				Buzenval
Buzenval			Maraichers
Maraichers			PortedeMontreuil
PortedeMontreuil		Robespierre		
Robespierre			CroixdeChavaux
CroixdeChavaux			MairiedeMontreuil

BoulognePontdeSaintCloud	BoulogneJeanJaures
BoulogneJeanJaures		MichelAngeMolitor		
MichelAngeMolitor		ChardonLagache
ChardonLagache			Mirabeau
Mirabeau			JavelAndreCitroen
JavelAndreCitroen		CharlesMichels	
CharlesMichels			AvenueEmileZola		
AvenueEmileZola			LaMottePicquetGrenelle
LaMottePicquetGrenelle		Segur
Segur				Duroc	
Duroc				Vaneau
Vaneau				SevresBabylone	
SevresBabylone			Mabillon
Mabillon			Odeon
Odeon				ClunyLaSorbonne
ClunyLaSorbonne			MaubertMutualite
MaubertMutualite		CardinalLemoine	
CardinalLemoine			Jussieu		
Jussieu				Gared'Austerlitz

MairiedesLilas			PortedesLilas		
PortedesLilas			Telegraphe
Telegraphe			PlacedesFetes
PlacedesFetes			Jourdain
Jourdain			Pyrenees
Pyrenees			Belleville
Belleville			Goncourt
Goncourt			Republique
Republique			ArtsetMetiers
ArtsetMetiers			Rambuteau
Rambuteau			HoteldeVille		
HoteldeVille			Chatelet

PortedelaChapelle		MarxDormoy	
MarxDormoy			MarcadetPoissonniers	
MarcadetPoissonniers		JulesJoffrin
JulesJoffrin			LamarckCaulaincourt
LamarckCaulaincourt		Abbesses
Abbesses			Pigalle		
Pigalle				SaintGeorges
SaintGeorges			NotreDamedeLorette
NotreDamedeLorette		Trinited'Estienned'Orves
Trinited'Estienned'Orves	SaintLazare
SaintLazare			Madeleine
Madeleine			Concorde
Concorde			AssembleeNationale
AssembleeNationale		Solferino	
Solferino			RueduBac
RueduBac			SevresBabylone	
SevresBabylone			Rennes
Rennes				NotreDamedesChamps
NotreDamedesChamps		MontparnasseBienvenue		
MontparnasseBienvenue		Falguiere
Falguiere			Pasteur
Pasteur				Volontaires
Volontaires			Vaugirard
Vaugirard			Convention
Convention			PortedeVersailles	
PortedeVersailles		CorentinCelton
CorentinCelton			Mairied'Issy

AsnieresGennevilliersLesCourtilles	LesAgnettes	
LesAgnettes			GabrielPeri	
GabrielPeri			MairiedeClichy	
MairiedeClichy			PortedeClichy
PortedeClichy			Brochant
Brochant			LaFourche
SaintDenisUniversite 		BasiliquedeSaintDenis
BasiliquedeSaintDenis 		SaintDenisPortedeParis
SaintDenisPortedeParis		CarrefourPleyel
CarrefourPleyel			MairiedeSaintOuen
MairiedeSaintOuen		Garibaldi
Garibaldi			PortedeSaintOuen
PortedeSaintOuen 		GuyMoquet
GuyMoquet			LaFourche
LaFourche			PlacedeClichy
PlacedeClichy			Liege
Liege				SaintLazare
SaintLazare			Miromesnil
Miromesnil			ChampsElyseesClemenceau	
ChampsElyseesClemenceau		Invalides
Invalides			Varenne
Varenne				SaintFrancoisXavier
SaintFrancoisXavier		Duroc
Duroc				MontparnasseBienvenue
MontparnasseBienvenue		Gaite
Gaite				Pernety
Pernety				Plaisance
Plaisance			PortedeVanves
PortedeVanves			MalakoffPlateaudeVanves
MalakoffPlateaudeVanves		MalakoffRueEtienneDolet		
MalakoffRueEtienneDolet		ChatillonMontrouge

SaintLazare			Madeleine
Madeleine			Pyramides
Pyramides			Chatelet
Chatelet			GaredeLyon
GaredeLyon			Bercy
Bercy				CourSaintEmilion
CourSaintEmilion		BibliothequeFrancoisMitterrand	
BibliothequeFrancoisMitterrand	Olympiades
